Index,X,Y,Z,RotX,RotY,RotZ
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.5518849727885355,-0.7604750131544241,0.342199840996421,-0.0004897184571962502,-0.0014766553730755163,-0.0018879627213820075
2,-1.179522204663462,-1.4667770216336589,0.6696276620235584,-0.00018621153645618667,-0.0015816777717577205,-0.002471093807693471
3,-1.7144091674602144,-2.2435762688586904,1.0020112755496904,0.0003549144057951746,-0.0018419626579569447,-0.005615679144148005
4,-2.225738640068933,-3.034940999604794,1.3370993734774392,0.001001325622954944,-0.0019748447918803316,-0.008792419075979599
5,-2.9367105726574,-3.670855895651868,1.637317887325036,0.0019750051057121107,-0.0008284734666281372,-0.008236864570050677
6,-3.4711960137990245,-4.447742025115226,1.9701440507423462,0.002880181242636934,-0.0005342606095213649,-0.010633247158105543
7,-3.9799679629403997,-5.239658852614462,2.307810812639978,0.0035384395382206213,-0.0004924956143331166,-0.012864221853547537
8,-4.527637476886542,-6.0088207207622375,2.6371254404375017,0.0042301807158680186,-0.0005266408907115567,-0.015389288507539503
9,-5.042957671586338,-6.797581041687207,2.9722407236892585,0.00449687412855876,-0.0011792567250522592,-0.018152669328913486
10,-5.581001063446826,-7.568577010474862,3.3129378393043534,0.004531975454997773,-0.0017344563350270004,-0.01943792554908298
11,-6.104291454227853,-8.353004843634299,3.6458644700821163,0.00495423459163661,-0.002188285076545012,-0.022208629696715963
12,-6.616820675262958,-9.14433518033909,3.9791962804390533,0.005534212265932716,-0.002268955398933795,-0.024507988799743072
13,-7.192687991162701,-9.896192601808483,4.300268316374638,0.006022301559225818,-0.001977544700324938,-0.02558669840704752
14,-7.897327414456758,-10.548409806036094,4.579724934920948,0.005793326982487194,-0.001889287132336597,-0.025086077181321463
15,-8.564136708623941,-11.23117464013804,4.878384517934793,0.006166171855258066,-0.0014793418325118651,-0.02555015458257614
16,-9.262593415991963,-11.881412138558204,5.177298257299357,0.0061699486281406885,-0.0014447508979370139,-0.025386118993200153
17,-9.816573002856812,-12.646200031785979,5.506245206987714,0.006278757254890252,-0.002163237147576592,-0.02800430377180624
18,-10.346709742855396,-13.423538910596582,5.844918064466946,0.005765185374881251,-0.00327050288502476,-0.029474247043996617
19,-11.04703322660412,-13.935031515571216,6.342836062902744,0.004242367091425525,-0.0063228280199459285,-0.028024346446084713
20,-11.993938503233943,-13.859987529933823,6.0302040151049345,0.0008840548085035695,0.013416394520270727,-0.007473354753063561
21,-12.78306317575413,-14.471015389531907,6.092871438978078,0.0038190256827380737,0.019170890588812675,-0.008686936184073915
22,-13.336777914242601,-15.212882944123958,6.471067842747672,0.0021842502657484645,0.016732672551350556,-0.008943868860468348
23,-12.87922542243769,-14.470885385751373,5.981082801534942,-0.0005620170731913576,0.014021937895832708,-0.007790785089922525
24,-12.444132451827123,-13.662888366359567,5.5837983649164995,-0.0013679209166966185,0.013516457061286704,-0.007080189733957659
25,-13.094642511916351,-14.353322619273097,5.900242995344075,-0.00114699609253364,0.013738012082318347,-0.007326309469896115
